persona_id,question_id,run_index,rating,collected_at
0,1,1,0,2025-10-15T14:08:06.023553
0,1,2,0,2025-10-15T14:08:06.255023
0,1,3,0,2025-10-15T14:08:06.485018
0,1,4,0,2025-10-15T14:08:06.714571
0,1,5,0,2025-10-15T14:08:06.942048
0,1,6,0,2025-10-15T14:08:07.170149
0,1,7,0,2025-10-15T14:08:07.401604
0,1,8,0,2025-10-15T14:08:07.632073
0,1,9,0,2025-10-15T14:08:07.862955
0,1,10,0,2025-10-15T14:08:08.092862
0,2,1,4,2025-10-15T14:08:08.591564
0,2,2,5,2025-10-15T14:08:08.819220
0,2,3,4,2025-10-15T14:08:09.047492
0,2,4,4,2025-10-15T14:08:09.277731
0,2,5,5,2025-10-15T14:08:09.507748
0,2,6,4,2025-10-15T14:08:09.737615
0,2,7,4,2025-10-15T14:08:09.968947
0,2,8,4,2025-10-15T14:08:10.199355
0,2,9,5,2025-10-15T14:08:10.431946
0,2,10,5,2025-10-15T14:08:10.660893
0,3,1,0,2025-10-15T14:08:11.162207
0,3,2,0,2025-10-15T14:08:11.392801
0,3,3,0,2025-10-15T14:08:11.623362
0,3,4,0,2025-10-15T14:08:11.854628
0,3,5,0,2025-10-15T14:08:12.085617
0,3,6,0,2025-10-15T14:08:12.315925
0,3,7,0,2025-10-15T14:08:12.545646
0,3,8,0,2025-10-15T14:08:12.775574
0,3,9,0,2025-10-15T14:08:13.005519
0,3,10,0,2025-10-15T14:08:13.235261
0,4,1,0,2025-10-15T14:08:13.739227
0,4,2,0,2025-10-15T14:08:13.970918
0,4,3,0,2025-10-15T14:08:14.202625
0,4,4,0,2025-10-15T14:08:14.433670
0,4,5,0,2025-10-15T14:08:14.664397
0,4,6,0,2025-10-15T14:08:14.895358
0,4,7,0,2025-10-15T14:08:15.124901
0,4,8,0,2025-10-15T14:08:15.357076
0,4,9,0,2025-10-15T14:08:15.589605
0,4,10,0,2025-10-15T14:08:15.823965
0,5,1,0,2025-10-15T14:08:16.326502
0,5,2,0,2025-10-15T14:08:16.558123
0,5,3,0,2025-10-15T14:08:16.789990
0,5,4,0,2025-10-15T14:08:17.022360
0,5,5,0,2025-10-15T14:08:17.254347
0,5,6,0,2025-10-15T14:08:17.486290
0,5,7,0,2025-10-15T14:08:17.718032
0,5,8,0,2025-10-15T14:08:17.949961
0,5,9,0,2025-10-15T14:08:18.181702
0,5,10,0,2025-10-15T14:08:18.413462
0,6,1,0,2025-10-15T14:08:18.915907
0,6,2,0,2025-10-15T14:08:19.148646
0,6,3,0,2025-10-15T14:08:19.380712
0,6,4,0,2025-10-15T14:08:19.612776
0,6,5,0,2025-10-15T14:08:19.844328
0,6,6,0,2025-10-15T14:08:20.076326
0,6,7,0,2025-10-15T14:08:20.308324
0,6,8,0,2025-10-15T14:08:20.540517
0,6,9,0,2025-10-15T14:08:20.772200
0,6,10,0,2025-10-15T14:08:21.002913
0,7,1,4,2025-10-15T14:08:21.506816
0,7,2,4,2025-10-15T14:08:21.739069
0,7,3,4,2025-10-15T14:08:21.970776
0,7,4,4,2025-10-15T14:08:22.202699
0,7,5,4,2025-10-15T14:08:22.434928
0,7,6,4,2025-10-15T14:08:22.667371
0,7,7,4,2025-10-15T14:08:22.899186
0,7,8,4,2025-10-15T14:08:23.131106
0,7,9,4,2025-10-15T14:08:23.361653
0,7,10,4,2025-10-15T14:08:23.593000
0,8,1,4,2025-10-15T14:08:24.095838
0,8,2,4,2025-10-15T14:08:24.327432
0,8,3,4,2025-10-15T14:08:24.559307
0,8,4,4,2025-10-15T14:08:24.790676
0,8,5,4,2025-10-15T14:08:25.021286
0,8,6,4,2025-10-15T14:08:25.253083
0,8,7,4,2025-10-15T14:08:25.483870
0,8,8,4,2025-10-15T14:08:25.715292
0,8,9,4,2025-10-15T14:08:25.947345
0,8,10,4,2025-10-15T14:08:26.178953
0,9,1,0,2025-10-15T14:08:26.681882
0,9,2,0,2025-10-15T14:08:26.913525
0,9,3,0,2025-10-15T14:08:27.147247
0,9,4,0,2025-10-15T14:08:27.381021
0,9,5,0,2025-10-15T14:08:27.613713
0,9,6,0,2025-10-15T14:08:27.845437
0,9,7,0,2025-10-15T14:08:28.076321
0,9,8,0,2025-10-15T14:08:28.308369
0,9,9,0,2025-10-15T14:08:28.540763
0,9,10,0,2025-10-15T14:08:28.772638
0,10,1,0,2025-10-15T14:08:29.276490
0,10,2,0,2025-10-15T14:08:29.507907
0,10,3,0,2025-10-15T14:08:29.738763
0,10,4,0,2025-10-15T14:08:29.969708
0,10,5,0,2025-10-15T14:08:30.201223
0,10,6,0,2025-10-15T14:08:30.432168
0,10,7,0,2025-10-15T14:08:30.664356
0,10,8,0,2025-10-15T14:08:30.896181
0,10,9,0,2025-10-15T14:08:31.127409
0,10,10,0,2025-10-15T14:08:31.356716
0,11,1,0,2025-10-15T14:08:31.857515
0,11,2,0,2025-10-15T14:08:32.085500
0,11,3,0,2025-10-15T14:08:32.313125
0,11,4,0,2025-10-15T14:08:32.544336
0,11,5,0,2025-10-15T14:08:32.774131
0,11,6,0,2025-10-15T14:08:33.003006
0,11,7,0,2025-10-15T14:08:33.234058
0,11,8,0,2025-10-15T14:08:33.463471
0,11,9,0,2025-10-15T14:08:33.694705
0,11,10,0,2025-10-15T14:08:33.927325
0,12,1,0,2025-10-15T14:08:34.428592
0,12,2,0,2025-10-15T14:08:34.660334
0,12,3,0,2025-10-15T14:08:34.890463
0,12,4,0,2025-10-15T14:08:35.121001
0,12,5,0,2025-10-15T14:08:35.351741
0,12,6,0,2025-10-15T14:08:35.581174
0,12,7,0,2025-10-15T14:08:35.812020
0,12,8,0,2025-10-15T14:08:36.043518
0,12,9,0,2025-10-15T14:08:36.273767
0,12,10,0,2025-10-15T14:08:36.504702
0,13,1,4,2025-10-15T14:08:37.006579
0,13,2,4,2025-10-15T14:08:37.237866
0,13,3,4,2025-10-15T14:08:37.468264
0,13,4,4,2025-10-15T14:08:37.698665
0,13,5,4,2025-10-15T14:08:37.928645
0,13,6,4,2025-10-15T14:08:38.158398
0,13,7,4,2025-10-15T14:08:38.389827
0,13,8,4,2025-10-15T14:08:38.619492
0,13,9,4,2025-10-15T14:08:38.849817
0,13,10,4,2025-10-15T14:08:39.080544
0,14,1,0,2025-10-15T14:08:39.583995
0,14,2,0,2025-10-15T14:08:39.814461
0,14,3,0,2025-10-15T14:08:40.043755
0,14,4,0,2025-10-15T14:08:40.273175
0,14,5,0,2025-10-15T14:08:40.502358
0,14,6,0,2025-10-15T14:08:40.732994
0,14,7,0,2025-10-15T14:08:40.964311
0,14,8,0,2025-10-15T14:08:41.193769
0,14,9,0,2025-10-15T14:08:41.423477
0,14,10,0,2025-10-15T14:08:41.651364
0,15,1,4,2025-10-15T14:08:42.214933
0,15,2,4,2025-10-15T14:08:42.444333
0,15,3,4,2025-10-15T14:08:42.672023
0,15,4,4,2025-10-15T14:08:42.899743
0,15,5,4,2025-10-15T14:08:43.127519
0,15,6,4,2025-10-15T14:08:43.354915
0,15,7,4,2025-10-15T14:08:43.578956
0,15,8,4,2025-10-15T14:08:43.804274
0,15,9,4,2025-10-15T14:08:44.031129
0,15,10,4,2025-10-15T14:08:44.259365
0,16,1,0,2025-10-15T14:08:44.771229
0,16,2,0,2025-10-15T14:08:44.999632
